Cochrane.Review.ID	Author.s.	Title	Year	Keywords	DOI	URL	Cochrane.Review.Group.Code	base_id	version
CD000004.PUB2	Hofmeyr, GJ	Abdominal decompression for suspected fetal compromise/pre‐eclampsia	2012	Estriol [blood]; Female; Fetal Development; Fetal Diseases [*prevention & control]; Fetal Distress [therapy]; Humans; Lower Body Negative Pressure [*methods]; Pregnancy; Pregnancy Outcome; Pre‐Eclampsia [*prevention & control]; Randomized Controlled Trials as Topic	10.1002/14651858.CD000004.pub2	http://dx.doi.org/10.1002/14651858.CD000004.pub2	Pregnancy and Childbirth	CD000004	2
CD000005.PUB2	Wilkinson, CS; Enkin, MW	Absorbable staples for uterine incision at caesarean section	2006	*Cesarean Section; *Sutures; Female; Humans; Pregnancy	10.1002/14651858.CD000005.pub2	http://dx.doi.org/10.1002/14651858.CD000005.pub2	Pregnancy and Childbirth	CD000005	2
CD000006.PUB2	Kettle, C; Dowswell, T; Ismail, KMK	Absorbable suture materials for primary repair of episiotomy and second degree tears	2010	*Sutures; Absorbable Implants; Catgut; Delivery, Obstetric [*adverse effects]; Episiotomy [adverse effects]; Female; Humans; Perineum [*injuries, surgery]; Polyglactin 910; Polyglycolic Acid; Pregnancy; Randomized Controlled Trials as Topic	10.1002/14651858.CD000006.pub2	http://dx.doi.org/10.1002/14651858.CD000006.pub2	Pregnancy and Childbirth	CD000006	2
CD000007.PUB2	Prendiville, WJP; Elbourne, D; McDonald, SJ	Active versus expectant management in the third stage of labour	2009	*Labor Stage, Third; Delivery, Obstetric [*methods]; Female; Humans; Postpartum Hemorrhage [*prevention & control]; Pregnancy	10.1002/14651858.CD000007.pub2	http://dx.doi.org/10.1002/14651858.CD000007.pub2	Pregnancy and Childbirth	CD000007	2
CD000008.PUB2	McCarney, RW; Brinkhaus, B; Lasserson, TJ; Linde, K	Acupuncture for chronic asthma	2003	*Acupuncture Therapy; Asthma [*therapy]; Chronic Disease; Humans; Randomized Controlled Trials as Topic	10.1002/14651858.CD000008.pub2	http://dx.doi.org/10.1002/14651858.CD000008.pub2	Airways	CD000008	2
CD000009.PUB4	White, AR; Rampes, H; Liu, JP; Stead, LF; Campbell, J	Acupuncture and related interventions for smoking cessation	2014	*Acupuncture Therapy; Acupressure; Electric Stimulation Therapy; Humans; Laser Therapy; Randomized Controlled Trials as Topic; Smoking Cessation [*methods]; Smoking [*therapy]; Tobacco Use Cessation Devices; Treatment Outcome	10.1002/14651858.CD000009.pub4	http://dx.doi.org/10.1002/14651858.CD000009.pub4	Tobacco Addiction	CD000009	4
CD000010	Volmink, J; Garner, P	Interventions for promoting adherence to tuberculosis management	2000	*Patient Compliance; Antitubercular Agents [*therapeutic use]; Humans; Randomized Controlled Trials as Topic; Tuberculosis, Pulmonary [*drug therapy, prevention & control]	10.1002/14651858.CD000010	http://dx.doi.org/10.1002/14651858.CD000010	Infectious Diseases	CD000010	1
CD000011.PUB4	Nieuwlaat, R; Wilczynski, N; Navarro, T; Hobson, N; Jeffery, R; Keepanasseril, A; Agoritsas, T; Mistry, N; Iorio, A; Jack, S; Sivaramalingam, B; Iserman, E; Mustafa, RA; Jedraszewski, D; Cotoi, C; Haynes, RB	Interventions for enhancing medication adherence	2014	*Drug Therapy; *Medication Adherence; Humans; Patient Education as Topic; Publication Bias; Randomized Controlled Trials as Topic; Self Administration	10.1002/14651858.CD000011.pub4	http://dx.doi.org/10.1002/14651858.CD000011.pub4	Consumers and Communication	CD000011	4
CD000012.PUB4	Hodnett, ED; Downe, S; Walsh, D	Alternative versus conventional institutional settings for birth	2012	Analgesia, Epidural [statistics & numerical data]; Analgesia, Obstetrical [statistics & numerical data]; Birthing Centers [organization & administration, *standards]; Breast Feeding [statistics & numerical data]; Confidence Intervals; Delivery Rooms; Female; Humans; Interior Design and Furnishings; Odds Ratio; Pregnancy; Randomized Controlled Trials as Topic	10.1002/14651858.CD000012.pub4	http://dx.doi.org/10.1002/14651858.CD000012.pub4	Pregnancy and Childbirth	CD000012	4
CD000013.PUB2	Hofmeyr, GJ; Lawrie, TA	Amnioinfusion for potential or suspected umbilical cord compression in labour	2012	*Heart Rate, Fetal; *Umbilical Cord; Amnion; Cesarean Section [statistics & numerical data]; Constriction, Pathologic [therapy]; Endometritis [prevention & control]; Female; Fetal Distress [*therapy]; Humans; Injections [methods]; Meconium; Oligohydramnios [*therapy]; Pregnancy; Randomized Controlled Trials as Topic	10.1002/14651858.CD000013.pub2	http://dx.doi.org/10.1002/14651858.CD000013.pub2	Pregnancy and Childbirth	CD000013	2
CD000014.PUB4	Hofmeyr, GJ; Xu, H; Eke, AC	Amnioinfusion for meconium‐stained liquor in labour	2014	*Amnion; *Meconium; Cesarean Section [statistics & numerical data]; Female; Humans; Infant, Newborn; Injections; Meconium Aspiration Syndrome [*prevention & control]; Obstetric Labor Complications [*prevention & control]; Perinatal Mortality; Pregnancy; Randomized Controlled Trials as Topic; Sodium Chloride [*administration & dosage]	10.1002/14651858.CD000014.pub4	http://dx.doi.org/10.1002/14651858.CD000014.pub4	Pregnancy and Childbirth	CD000014	4
