"Review","Analysis_group","Analysis_number","Analysis_name","Subgroup","Study","bias_arising_from_the_randomization_process","bias_due_to_deviations_from_intended_interventions","bias_due_to_missing_outcome_data","bias_in_measurement_of_the_outcome","bias_in_selection_of_the_reported_result","overall_bias"
"CD015078",NA,NA,NA,NA,"Berger 2022","Low risk","Low risk","Low risk","Low risk","Low risk","Low risk"
"CD015078",NA,NA,NA,NA,"Berger 2022","Low risk","Low risk","Low risk","Low risk","Low risk","Low risk"
"CD015078",NA,NA,NA,NA,"Berger 2022","Low risk","Low risk","Low risk","Low risk","Low risk","Low risk"
"CD015078",NA,NA,NA,NA,"Berger 2022","Low risk","Low risk","Low risk","Low risk","Low risk","Low risk"
"CD015078",NA,NA,NA,NA,"Bohula 2022 (COVID-PACT)","Low risk","High risk","Low risk","Low risk","Some concerns","High risk"
"CD015078",NA,NA,NA,NA,"Bohula 2022 (COVID-PACT)","Low risk","High risk","Low risk","Low risk","Some concerns","High risk"
"CD015078",NA,NA,NA,NA,"Bohula 2022 (COVID-PACT)","Low risk","High risk","Low risk","Low risk","Some concerns","High risk"
"CD015078",NA,NA,NA,NA,"Connors 2021 (ACTIV-4B)","Low risk","Low risk","Low risk","Low risk","Low risk","Low risk"
"CD015078",NA,NA,NA,NA,"Connors 2021 (ACTIV-4B)","Low risk","Low risk","Low risk","Low risk","Low risk","Low risk"
"CD015078",NA,NA,NA,NA,"Connors 2021 (ACTIV-4B)","Low risk","Low risk","Low risk","Low risk","Low risk","Low risk"
"CD015078",NA,NA,NA,NA,"Connors 2021 (ACTIV-4B)","Low risk","Low risk","Low risk","Low risk","Low risk","Low risk"
"CD015078",NA,NA,NA,NA,"Eikelboom 2022 (ACTCOVID)","Low risk","Some concerns","Low risk","Low risk","Low risk","Some concerns"
"CD015078",NA,NA,NA,NA,"Eikelboom 2022 (ACTCOVID)","Low risk","Some concerns","Low risk","Low risk","Low risk","Some concerns"
"CD015078",NA,NA,NA,NA,"Eikelboom 2022 (ACTCOVID)","Low risk","Some concerns","Low risk","Some concerns","Low risk","Some concerns"
"CD015078",NA,NA,NA,NA,"Eikelboom 2022 (ACTCOVID)","Low risk","Some concerns","Low risk","Low risk","Low risk","Some concerns"
"CD015078",NA,NA,NA,NA,"Horby 2021 (RECOVERY)","Low risk","High risk","Low risk","Low risk","Low risk","High risk"
"CD015078",NA,NA,NA,NA,"Horby 2021 (RECOVERY)","Low risk","High risk","Low risk","Some concerns","Low risk","High risk"
"CD015078",NA,NA,NA,NA,"Horby 2021 (RECOVERY)","Low risk","High risk","Low risk","Low risk","Low risk","High risk"
"CD015078",NA,NA,NA,NA,"Horby 2021 (RECOVERY)","Low risk","High risk","Low risk","Some concerns","Low risk","High risk"
"CD015078",NA,NA,NA,NA,"Horby 2021 (RECOVERY)","Low risk","High risk","Low risk","Low risk","Low risk","High risk"
"CD015078",NA,NA,NA,NA,"Horby 2021 (RECOVERY)","Low risk","High risk","Low risk","Low risk","Low risk","High risk"
"CD015078",NA,NA,NA,NA,"REMAP-CAP 2022","Low risk","Some concerns","Some concerns","Low risk","Low risk","Some concerns"
"CD015078",NA,NA,NA,NA,"REMAP-CAP 2022","Low risk","Some concerns","Low risk","Some concerns","Low risk","Some concerns"
"CD015078",NA,NA,NA,NA,"REMAP-CAP 2022","Low risk","Some concerns","Low risk","Low risk","Low risk","Some concerns"
"CD015078",NA,NA,NA,NA,"REMAP-CAP 2022","Low risk","Some concerns","Low risk","Low risk","Low risk","Some concerns"
"CD015078",NA,NA,NA,NA,"REMAP-CAP 2022","Low risk","Some concerns","Low risk","Low risk","Low risk","Some concerns"
"CD015078",NA,NA,NA,NA,"REMAP-CAP 2022","Low risk","Some concerns","High risk","Low risk","Low risk","High risk"
"CD015229",NA,NA,NA,NA,"de Oliveira 2004","Some concerns","High risk","Low risk","High risk","Some concerns","High risk"
"CD015229",NA,NA,NA,NA,"Dong 2021","Low risk","Low risk","Low risk","Low risk","Some concerns","Low risk"
"CD015229",NA,NA,NA,NA,"Dong 2021","Low risk","Low risk","Low risk","Low risk","Some concerns","Low risk"
"CD015229",NA,NA,NA,NA,"Gao 2014","High risk","Some concerns","Some concerns","Some concerns","Some concerns","High risk"
"CD015229",NA,NA,NA,NA,"Gao 2014","High risk","Some concerns","Some concerns","High risk","Some concerns","High risk"
"CD015229",NA,NA,NA,NA,"Gupta 2020","Some concerns","Low risk","Low risk","Low risk","Some concerns","Some concerns"
"CD015229",NA,NA,NA,NA,"Gupta 2020","Some concerns","Low risk","Low risk","Low risk","Some concerns","Some concerns"
"CD015229",NA,NA,NA,NA,"Gupta 2020","Some concerns","Low risk","Low risk","Low risk","Some concerns","Some concerns"
"CD015229",NA,NA,NA,NA,"Gupta 2020","Some concerns","Low risk","Some concerns","Low risk","Some concerns","Some concerns"
"CD015229",NA,NA,NA,NA,"Gupta 2020","Some concerns","Low risk","Low risk","Low risk","Some concerns","Some concerns"
"CD015229",NA,NA,NA,NA,"Huang 2014","Some concerns","Low risk","Low risk","Some concerns","Some concerns","Some concerns"
"CD015229",NA,NA,NA,NA,"Huang 2014","Some concerns","Low risk","Low risk","Some concerns","Some concerns","Some concerns"
"CD015229",NA,NA,NA,NA,"Johnson 2009","Low risk","High risk","Some concerns","High risk","High risk","High risk"
"CD015229",NA,NA,NA,NA,"Johnson 2009","Low risk","High risk","Some concerns","High risk","High risk","High risk"
"CD015229",NA,NA,NA,NA,"Kanno 2020","Low risk","Low risk","Low risk","Some concerns","Some concerns","Some concerns"
"CD015229",NA,NA,NA,NA,"Kanno 2020","Low risk","Low risk","Low risk","Some concerns","Some concerns","Some concerns"
"CD015229",NA,NA,NA,NA,"Kanno 2020","Low risk","Low risk","Low risk","High risk","Some concerns","High risk"
"CD015229",NA,NA,NA,NA,"Kanno 2020","Low risk","Low risk","Low risk","High risk","Some concerns","High risk"
"CD015229",NA,NA,NA,NA,"Kanno 2020","Low risk","Low risk","Low risk","High risk","High risk","High risk"
"CD015229",NA,NA,NA,NA,"Kawamata 1996","Some concerns","Low risk","Low risk","High risk","Some concerns","High risk"
"CD015229",NA,NA,NA,NA,"Kawamata 1996","Some concerns","Low risk","Low risk","High risk","Some concerns","High risk"
"CD015229",NA,NA,NA,NA,"Kawamata 1996","Some concerns","Low risk","Low risk","High risk","Some concerns","High risk"
"CD015229",NA,NA,NA,NA,"Kawamata 1996","Some concerns","Low risk","Low risk","High risk","Some concerns","High risk"
"CD015229",NA,NA,NA,NA,"Kawamata 1996","Some concerns","Low risk","Low risk","High risk","Some concerns","High risk"
"CD015229",NA,NA,NA,NA,"Lillemoe 1993","Some concerns","High risk","Low risk","Low risk","Some concerns","High risk"
"CD015229",NA,NA,NA,NA,"Mercadante 1993","Some concerns","Low risk","Low risk","High risk","Some concerns","High risk"
"CD015229",NA,NA,NA,NA,"Mercadante 1993","Some concerns","Low risk","Low risk","High risk","Some concerns","High risk"
"CD015229",NA,NA,NA,NA,"Mishra 2013","Some concerns","Low risk","Low risk","Some concerns","Some concerns","Some concerns"
"CD015229",NA,NA,NA,NA,"Mishra 2013","Some concerns","Low risk","Low risk","High risk","High risk","High risk"
"CD015229",NA,NA,NA,NA,"Polati 1998","Some concerns","Low risk","Low risk","Low risk","Some concerns","Some concerns"
"CD015229",NA,NA,NA,NA,"Wong 2004","Low risk","Low risk","Low risk","Low risk","Some concerns","Low risk"
"CD015229",NA,NA,NA,NA,"Wong 2004","Low risk","Low risk","Low risk","Low risk","Some concerns","Low risk"
"CD015229",NA,NA,NA,NA,"Wong 2004","Low risk","Low risk","Low risk","Low risk","Some concerns","Low risk"
"CD015229",NA,NA,NA,NA,"Wyse 2011","Low risk","Low risk","Low risk","Low risk","Some concerns","Low risk"
"CD015229",NA,NA,NA,NA,"Zhang 2008","Some concerns","Low risk","Low risk","Some concerns","Some concerns","Some concerns"
"CD015229",NA,NA,NA,NA,"Zhang 2008","Some concerns","Low risk","Low risk","Some concerns","Some concerns","Some concerns"
"CD015229",NA,NA,NA,NA,"Zhang 2008","Some concerns","Low risk","Low risk","High risk","Some concerns","High risk"
"CD015229",NA,NA,NA,NA,"Zhang 2008","Some concerns","Low risk","Low risk","High risk","Some concerns","High risk"
"CD015229",NA,NA,NA,NA,"Zhang 2008","Some concerns","Low risk","Low risk","High risk","High risk","High risk"
"CD015328",NA,NA,NA,NA,"Adab 2018","Low risk","Low risk","Some concerns","Low risk","Low risk","Some concerns"
"CD015328",NA,NA,NA,NA,"Annesi 2016","High risk","Low risk","Some concerns","Low risk","Some concerns","High risk"
"CD015328",NA,NA,NA,NA,"Annesi 2016","High risk","Low risk","Some concerns","Low risk","Some concerns","High risk"
"CD015328",NA,NA,NA,NA,"Annesi 2016","High risk","Low risk","Some concerns","Low risk","Some concerns","High risk"
"CD015328",NA,NA,NA,NA,"Annesi 2017","High risk","Low risk","Some concerns","Low risk","Some concerns","High risk"
"CD015328",NA,NA,NA,NA,"Annesi 2017","High risk","Low risk","Some concerns","Low risk","Some concerns","High risk"
"CD015328",NA,NA,NA,NA,"Baranowski 2003","Some concerns","Low risk","Low risk","Low risk","Some concerns","Some concerns"
