"Review","Study","column_name","column_value","random_sequence_generation","allocation_concealment","blinding_of_participants_and_personnel","blinding_of_outcome_assessment","blinding_of_participant_personnel_outcome","incomplete_outcome_data","selective_outcome_reporting","other_bias","unknown","number_cat"
"CD000031","Abdelghany 2022","Random_sequence_generation__selection_bias_","Low risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Ahluwalia 2002","Random_sequence_generation__selection_bias_","Low risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Anthenelli 2016","Random_sequence_generation__selection_bias_","Low risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Aubin 2004","Random_sequence_generation__selection_bias_","Low risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Aveyard 2008","Random_sequence_generation__selection_bias_","Low risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Barnes 2006","Random_sequence_generation__selection_bias_","Low risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Benli 2017","Random_sequence_generation__selection_bias_","Unclear risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Berlin 1995","Random_sequence_generation__selection_bias_","Unclear risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Berlin 2002","Random_sequence_generation__selection_bias_","Low risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Berlin 2012","Random_sequence_generation__selection_bias_","Unclear risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Biberman 2003","Random_sequence_generation__selection_bias_","Low risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Blondal 1999","Random_sequence_generation__selection_bias_","Low risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Brown 2007","Random_sequence_generation__selection_bias_","Unclear risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
