"Random_sequence_generation","Allocation_concealment","Blinding_of_participants_and_personnel","Blinding_of_outcome_assessment","Blinding_of_participant_personnel_outcome","Incomplete_outcome_data","Selective_outcome_reporting","Other_bias","Review","Study"
"Low risk","Low risk",NA,NA,"Unclear risk","High risk",NA,"Low risk","CD000031","Abdelghany 2022"
"Low risk","Low risk",NA,NA,"Low risk","Low risk",NA,"Low risk","CD000031","Ahluwalia 2002"
"Low risk","Low risk",NA,NA,"Low risk","Low risk",NA,"Low risk","CD000031","Anthenelli 2016"
"Low risk","Low risk",NA,NA,"Low risk","Low risk",NA,"Low risk","CD000031","Aubin 2004"
"Low risk","Low risk",NA,NA,"Low risk","Low risk",NA,"Low risk","CD000031","Aveyard 2008"
"Low risk","High risk",NA,NA,"High risk","High risk",NA,"Low risk","CD000031","Barnes 2006"
"Unclear risk","Unclear risk",NA,NA,"Unclear risk","High risk",NA,"Low risk","CD000031","Benli 2017"
"Unclear risk","Unclear risk",NA,NA,"Unclear risk","Unclear risk",NA,"Low risk","CD000031","Berlin 1995"
"Low risk","Unclear risk",NA,NA,"Unclear risk","High risk",NA,"Low risk","CD000031","Berlin 2002"
"Unclear risk","Low risk",NA,NA,"Unclear risk","Low risk",NA,"Low risk","CD000031","Berlin 2012"
"Low risk","Low risk",NA,NA,"Low risk","Low risk",NA,"Low risk","CD000031","Biberman 2003"
"Low risk","Low risk",NA,NA,"Low risk","Unclear risk",NA,"Low risk","CD000031","Blondal 1999"
"Unclear risk","Unclear risk",NA,NA,"Low risk","Low risk",NA,"Low risk","CD000031","Brown 2007"
"Low risk","High risk",NA,NA,"High risk","Low risk",NA,"Low risk","CD000031","Brown 2014"
"Unclear risk","Low risk",NA,NA,"Low risk","Unclear risk",NA,"Low risk","CD000031","Cinciripini 2005"
"Unclear risk","Unclear risk",NA,NA,"Unclear risk","Low risk",NA,"Low risk","CD000031","Cinciripini 2013"
"Low risk","Unclear risk",NA,NA,"Low risk","Low risk",NA,"Low risk","CD000031","Cinciripini 2018"
"Low risk","Low risk",NA,NA,"Unclear risk","Low risk",NA,"Low risk","CD000031","Collins 2004"
"Unclear risk","Unclear risk",NA,NA,"Low risk","Unclear risk",NA,"Low risk","CD000031","Covey 2002"
