"Random_sequence_generation","Allocation_concealment","Blinding_of_participants_and_personnel","Blinding_of_outcome_assessment","Blinding_of_participant_personnel_outcome","Incomplete_outcome_data","Selective_outcome_reporting","Other_bias","infile","study_name"
"Unclear risk","Unclear risk",NA,NA,"Unclear risk","High risk",NA,"Unclear risk","14651858.CD000009.pub4_references.html","Antoniou 2005"
"High risk","High risk",NA,NA,"High risk","Low risk",NA,"Low risk","14651858.CD000009.pub4_references.html","Aycicegi‐Dinn 2011"
"Low risk","Unclear risk",NA,NA,"Low risk","High risk",NA,"Low risk","14651858.CD000009.pub4_references.html","Bier 2002"
"Unclear risk","Unclear risk",NA,NA,"Low risk","Low risk",NA,"Low risk","14651858.CD000009.pub4_references.html","Cai 2000"
"Unclear risk","Unclear risk",NA,NA,"High risk","Low risk",NA,"Unclear risk","14651858.CD000009.pub4_references.html","Circo 1985"
"Unclear risk","Unclear risk",NA,NA,"Unclear risk","Unclear risk",NA,"Low risk","14651858.CD000009.pub4_references.html","Clavel 1985"
"Unclear risk","Unclear risk",NA,NA,"Low risk","Unclear risk",NA,"Unclear risk","14651858.CD000009.pub4_references.html","Clavel 1992"
"Unclear risk","Unclear risk",NA,NA,"Low risk","Unclear risk",NA,"Unclear risk","14651858.CD000009.pub4_references.html","Clavel 1992 +NG"
"Unclear risk","Unclear risk",NA,NA,"High risk","Unclear risk",NA,"Low risk","14651858.CD000009.pub4_references.html","Cottraux 1983"
"Unclear risk","Unclear risk",NA,NA,"Low risk","Unclear risk",NA,"Unclear risk","14651858.CD000009.pub4_references.html","Docherty 2003"
"Low risk","Low risk",NA,NA,"Low risk","Low risk",NA,"High risk","14651858.CD000009.pub4_references.html","Fritz 2013"
"Low risk","Unclear risk",NA,NA,"Low risk","Low risk",NA,"Unclear risk","14651858.CD000009.pub4_references.html","Georgiou 1999"
"Unclear risk","Unclear risk",NA,NA,"Low risk","Unclear risk",NA,"High risk","14651858.CD000009.pub4_references.html","Gilbey 1977"
"Low risk","Low risk",NA,NA,"Low risk","Low risk",NA,"Unclear risk","14651858.CD000009.pub4_references.html","Gillams 1984"
"Unclear risk","Unclear risk",NA,NA,"Unclear risk","Low risk",NA,"Unclear risk","14651858.CD000009.pub4_references.html","Han 2006"
"Low risk","Unclear risk",NA,NA,"Low risk","Low risk",NA,"Low risk","14651858.CD000009.pub4_references.html","He 1997"
"High risk","High risk",NA,NA,"Low risk","Low risk",NA,"Low risk","14651858.CD000009.pub4_references.html","Huang 2012"
"Low risk","High risk",NA,NA,"Low risk","High risk",NA,"Unclear risk","14651858.CD000009.pub4_references.html","Kerr 2008"
"High risk","High risk",NA,NA,"High risk","Low risk",NA,"Unclear risk","14651858.CD000009.pub4_references.html","Labadie 1983"
"Unclear risk","Unclear risk",NA,NA,"Low risk","Unclear risk",NA,"Unclear risk","14651858.CD000009.pub4_references.html","Lacroix 1977"
"High risk","High risk",NA,NA,"Low risk","High risk",NA,"Unclear risk","14651858.CD000009.pub4_references.html","Lagrue 1980"
"Unclear risk","Unclear risk",NA,NA,"Low risk","Low risk",NA,"Unclear risk","14651858.CD000009.pub4_references.html","Lamontagne 1980"
"Unclear risk","Unclear risk",NA,NA,"High risk","Unclear risk",NA,"Low risk","14651858.CD000009.pub4_references.html","Leung 1991"
"Unclear risk","Unclear risk",NA,NA,"Unclear risk","Low risk",NA,"Unclear risk","14651858.CD000009.pub4_references.html","Li 2009"
"Unclear risk","Unclear risk",NA,NA,"Low risk","Unclear risk",NA,"Low risk","14651858.CD000009.pub4_references.html","Martin 1981a"
"Unclear risk","Unclear risk",NA,NA,"Low risk","Unclear risk",NA,"Low risk","14651858.CD000009.pub4_references.html","Martin 1981b"
"Unclear risk","Unclear risk",NA,NA,"Low risk","Low risk",NA,"Unclear risk","14651858.CD000009.pub4_references.html","Parker 1977a"
"Unclear risk","Unclear risk",NA,NA,"Low risk","Low risk",NA,"Unclear risk","14651858.CD000009.pub4_references.html","Parker 1977b"
"Unclear risk","Low risk",NA,NA,"Low risk","Low risk",NA,"Low risk","14651858.CD000009.pub4_references.html","Pickworth 1997"
"Unclear risk","Unclear risk",NA,NA,"Low risk","Unclear risk",NA,"Unclear risk","14651858.CD000009.pub4_references.html","Scheuer 2005"
"Unclear risk","Unclear risk",NA,NA,"Low risk","Unclear risk",NA,"Low risk","14651858.CD000009.pub4_references.html","Steiner 1982"
"Unclear risk","Unclear risk",NA,NA,"High risk","Unclear risk",NA,"Low risk","14651858.CD000009.pub4_references.html","Tian 1996"
"Low risk","Unclear risk",NA,NA,"Low risk","Unclear risk",NA,"Low risk","14651858.CD000009.pub4_references.html","Vandevenne 1985"
"Unclear risk","Unclear risk",NA,NA,"Low risk","Low risk",NA,"Unclear risk","14651858.CD000009.pub4_references.html","Vibes 1977"
