"outcome","label","filename"
"Death prior to hospital discharge","primary","14651858.CD000019.pub3"
"Chronic lung disease","primary","14651858.CD000019.pub3"
"Respiratory distress syndrome","primary","14651858.CD000019.pub3"
"Chronic lung disease or death","secondary","14651858.CD000019.pub3"
"Need for oxygen therapy","secondary","14651858.CD000019.pub3"
"Severe respiratory distress syndrome","secondary","14651858.CD000019.pub3"
"Use of respiratory support","secondary","14651858.CD000019.pub3"
"Admission to neonatal intensive care unit","secondary","14651858.CD000019.pub3"
"Intraventricular haemorrhage","secondary","14651858.CD000019.pub3"
"Severe intraventricular haemorrhage","secondary","14651858.CD000019.pub3"
"Air leak syndrome","secondary","14651858.CD000019.pub3"
"Pulmonary haemorrhage","secondary","14651858.CD000019.pub3"
"Necrotising enterocolitis","secondary","14651858.CD000019.pub3"
"Patent ductus arteriosus","secondary","14651858.CD000019.pub3"
"Low Apgar score at 5 minutes","secondary","14651858.CD000019.pub3"
"Use of surfactant","secondary","14651858.CD000019.pub3"
"Gestational age at birth","secondary","14651858.CD000019.pub3"
"Motor delay at follow-up","secondary","14651858.CD000019.pub3"
"Motor impairment at follow-up","secondary","14651858.CD000019.pub3"
"Fine motor delay at follow-up","secondary","14651858.CD000019.pub3"
"Sensory impairment at follow-up","secondary","14651858.CD000019.pub3"
"Language delay at follow-up","secondary","14651858.CD000019.pub3"
"Social delay at follow-up","secondary","14651858.CD000019.pub3"
"Any neurodevelopmental abnormality at follow-up","secondary","14651858.CD000019.pub3"
"Bayley Mental Developmental Index","secondary","14651858.CD000019.pub3"
"Bayley Psychomotor Developmental Index","secondary","14651858.CD000019.pub3"
"Bayley Behavioural Rating Scales (18 months)","secondary","14651858.CD000019.pub3"
"Bayley Language Developmental Age (18 months)","secondary","14651858.CD000019.pub3"
"Bayley Cognitive Developmental Age (18 months)","secondary","14651858.CD000019.pub3"
"Serious neurological abnormality at follow-up","secondary","14651858.CD000019.pub3"
"Opthalmological or hearing abnormalities at follow-up","secondary","14651858.CD000019.pub3"
"Maternal nausea","secondary","14651858.CD000019.pub3"
"Maternal vomiting","secondary","14651858.CD000019.pub3"
"Maternal light headedness","secondary","14651858.CD000019.pub3"
"Urgency of micturition","secondary","14651858.CD000019.pub3"
"Maternal facial flushing","secondary","14651858.CD000019.pub3"
"Maternal systolic blood pressure rise >= 25 mmHg","secondary","14651858.CD000019.pub3"
"Maternal diastolic blood pressure rise >= 15 mmHg","secondary","14651858.CD000019.pub3"
"Incidence of Rhesus D alloimmunisation during pregnancy","primary","14651858.CD000020.pub3"
"Incidence of Rhesus D alloimmunisation postpartum (at birth of Rh-positive infant)","primary","14651858.CD000020.pub3"
"Incidence of Rhesus D alloimmunisation postpartum (at birth of Rh-positive infant and follow-up, up to 12 months)","primary","14651858.CD000020.pub3"
"Incidence of Rhesus D alloimmunisation postpartum (after birth of Rh-positive infant at 2 to 12 months): primigravidae","primary","14651858.CD000020.pub3"
"Incidence of positive Kleihauer test (32 to 35 weeks' gestation)","secondary","14651858.CD000020.pub3"
"Incidence of positive Kleihauer test (at birth of Rh-positive infant)","secondary","14651858.CD000020.pub3"
"Incidence of positive Kleihauer test (Kleihauer > 1/10,000, Rh-positive infant)","secondary","14651858.CD000020.pub3"
"Neonatal morbidity (jaundice)","secondary","14651858.CD000020.pub3"
"Overall mortality","primary","14651858.CD000022.pub4"
"Respiratory tract infections","primary","14651858.CD000022.pub4"
"Dropouts due to adverse events","secondary","14651858.CD000022.pub4"
"Gastrointestinal adverse events","secondary","14651858.CD000022.pub4"
"Allergic adverse events","secondary","14651858.CD000022.pub4"
"Symptom of sore throat on day 3","primary","14651858.CD000023.pub5"
"Symptom of sore throat on day 3: early (pre-1975) versus late studies (post-1975)","primary","14651858.CD000023.pub5"
"Symptom of sore throat on day 3: blind versus unblinded studies","primary","14651858.CD000023.pub5"
"Symptom of sore throat on day 3: antipyretics versus no antipyretics","primary","14651858.CD000023.pub5"
"Symptom of sore throat on day 3: GABHS-positive throat swab, negative swab, untested/inseparable","primary","14651858.CD000023.pub5"
"Symptom of sore throat at 1 week (6 to 8 days)","primary","14651858.CD000023.pub5"
"Symptom of sore throat at 1 week (6 to 8 days): early (pre-1975) versus late (post-1975)","primary","14651858.CD000023.pub5"
"Symptom of sore throat at 1 week (6 to 8 days): blind versus unblinded studies","primary","14651858.CD000023.pub5"
"Symptom of sore throat at 1 week (6 to 8 days): GABHS-positive throat swab, GABHS-negative swab","primary","14651858.CD000023.pub5"
"Symptom of fever on day 3","secondary","14651858.CD000023.pub5"
"Symptom of fever on day 3: blinded versus unblinded studies","secondary","14651858.CD000023.pub5"
"Symptom of fever on day 3: children compared with adults","secondary","14651858.CD000023.pub5"
"Symptom of fever at 1 week (6 to 8 days)","primary","14651858.CD000023.pub5"
"Symptom of headache on day 3","secondary","14651858.CD000023.pub5"
"Symptom of headache on day 3: blinded versus unblinded studies","secondary","14651858.CD000023.pub5"
"Incidence of acute rheumatic fever within 2 months. Rheumatic fever defined by clinical diagnosis","secondary","14651858.CD000023.pub5"
"Incidence of acute rheumatic fever within 2 months. Penicillin versus placebo","secondary","14651858.CD000023.pub5"
"Incidence of acute rheumatic fever within 2 months: early (pre-1975) versus late studies (post-1975)","secondary","14651858.CD000023.pub5"
