"group"	"DOI"	"Title"	"Year"
"children"	"10.1002/14651858.CD003281.pub5"	"Stimulation of the wrist acupuncture point PC6 for preventing postoperative nausea and vomiting: a network meta‐analysis"	2025
"children_and_adults"	"10.1002/14651858.CD006095.pub5"	"Probiotics for the prevention of Clostridioides difficile‐associated diarrhea in adults and children"	2025
"children"	"10.1002/14651858.CD003429.pub5"	"Clotting factor concentrates for preventing bleeding and bleeding‐related complications in previously untreated or minimally treated children with hemophilia A or B"	2025
"children"	"10.1002/14651858.CD013396.pub2"	"Vitamin D supplementation in pregnant or breastfeeding women or young children for preventing asthma"	2025
"children"	"10.1002/14651858.CD012500.pub2"	"Organised trauma systems and designated trauma centres for improving outcomes in injured patients"	2025
"children"	"10.1002/14651858.CD002112.pub2"	"Desmopressin for nocturnal enuresis in children"	2025
"children"	"10.1002/14651858.CD013757.pub3"	"Palivizumab for preventing severe respiratory syncytial virus (RSV) infection in children"	2025
"children"	"10.1002/14651858.CD001072.pub2"	"Continuous positive airway pressure versus methylxanthine for apnoea in preterm infants"	2025
"children"	"10.1002/14651858.CD004953.pub5"	"Sustained versus standard inflations during neonatal resuscitation to prevent mortality and improve respiratory outcomes"	2025
"children_and_adults"	"10.1002/14651858.CD009235.pub4"	"Automated versus non‐automated weaning for reducing the duration of mechanical ventilation for critically ill adults and children"	2025
"children"	"10.1002/14651858.CD002052.pub4"	"Midazolam for sedation of infants in the neonatal intensive care unit"	2025
"children"	"10.1002/14651858.CD015820.pub2"	"Interventions for improving adherence to amblyopia treatments in children"	2025
"children"	"10.1002/14651858.CD006182.pub3"	"Peritoneal drainage versus laparotomy as initial treatment for surgical necrotising enterocolitis or spontaneous intestinal perforation in preterm very low birth weight infants"	2025
"children"	"10.1002/14651858.CD013278.pub3"	"Early treatment versus expectant management of hemodynamically significant patent ductus arteriosus for preterm infants"	2025
"children"	"10.1002/14651858.CD013355.pub2"	"Pharmacological interventions for the prevention of pain during endotracheal suctioning in ventilated neonates"	2025
"children"	"10.1002/14651858.CD011841.pub3"	"Interventions for central serous chorioretinopathy: a network meta‐analysis"	2025
